Name,Set,Collector Number,Rarity,Color Identity,Type,Mana Cost,CMC,Power,Toughness,Tags
Boros Elite,Mixed,,common,W,Creature - Human Soldier,,1,1.0,1.0,White Soldiers
Miner's Guidewing,Mixed,,common,W,Creature - Bird,,1,1.0,1.0,White Soldiers
Topan Freeblade,Mixed,,common,W,Creature - Human Soldier,,2,2.0,2.0,White Soldiers
Ainok Bond-Kin,Mixed,,common,W,Creature - Dog Soldier,,2,2.0,1.0,White Soldiers
Cartouche of Solidarity,Mixed,,common,W,Creature Enchantment - Aura Cartouche,,1,,,White Soldiers
Doomed Traveler,Mixed,,common,W,Creature - Human Soldier,,1,1.0,1.0,White Soldiers
Gideon's Lawkeeper,Mixed,,common,W,Creature - Human Soldier,,1,1.0,1.0,White Soldiers
Goldmeadow Harrier,Mixed,,common,W,Creature - Kithkin Soldier,,1,1.0,1.0,White Soldiers
Thraben Inspector,Mixed,,common,W,Creature - Human Soldier,,1,1.0,2.0,White Soldiers
Ephemerate,Mixed,,common,W,Instant,,1,,,White Soldiers
Gods Willing,Mixed,,common,W,Instant,,1,,,White Soldiers
Mana Tithe,Mixed,,common,W,Instant,,1,,,White Soldiers
Mandibular Kite,Mixed,,common,W,Creature Artifact - Equipment,,1,,,White Equipment
Glimmerlight,Mixed,,common,,Artifact - Equipment,,2,,,White Equipment
Vulshok Morningstar,Mixed,,common,,Artifact - Equipment,,2,,,White Equipment
Ancestral Blade,Mixed,,common,W,Creature Artifact - Equipment,,2,,,White Equipment
Flayer Husk,Mixed,,common,,Creature Artifact - Equipment,,1,,,White Equipment
Soltari Trooper,Mixed,,common,W,Creature - Soltari Soldier,,2,1.0,1.0,White Equipment
Militia Bugler,Mixed,,common,W,Creature - Human Soldier,,3,2.0,3.0,White Equipment
Cathar Commando,Mixed,,common,W,Creature - Human Soldier,,2,3.0,1.0,White Equipment
Kor Skyfisher,Mixed,,common,W,Creature - Kor Soldier,,2,2.0,3.0,White Equipment
Stormfront Pegasus,Mixed,,common,W,Creature - Pegasus,,2,2.0,1.0,White Equipment
Ardenvale Tactician,Mixed,,common,W,Creature - Human Knight ,,3,2.0,3.0,White Equipment
Dog Umbra,Mixed,,common,W,Enchantment - Aura,,2,,,White Equipment
Combat Professor,Mixed,,common,W,Creature - Bird Cleric,,4,2.0,3.0,White Angels
Holy Cow,Mixed,,common,W,Creature - Ox Angel,,3,2.0,2.0,White Angels
Inspiring Overseer,Mixed,,common,W,Creature - Angel Cleric,,3,2.0,1.0,White Angels
Vault Skirge,Mixed,,common,,Artifact Creature - Imp,,1,1.0,1.0,White Angels
Aerie Auxiliary,Mixed,,common,W,Creature - Bird Soldier,,4,3.0,3.0,White Angels
Guardian of the Guildpact,Mixed,,common,W,Creature - Spirit,,4,2.0,3.0,White Angels
Custodi Squire,Mixed,,common,W,Creature - Spirit Cleric,,5,3.0,3.0,White Angels
Eagles of the North,Mixed,,common,W,Creature - Bird Soldier,,6,3.0,3.0,White Angels
Pegasus Guardian,Mixed,,common,W,Creature - Pegasus,,6,3.0,3.0,White Angels
Settle Beyond Reality,Mixed,,common,W,Sorcery,,5,,,White Angels
Faith's Fetters,Mixed,,common,W,Enchantment - Aura,,4,,,White Angels
Dauntless Unity,Mixed,,common,W,Instant,,2,,,White Angels
Gingerbrute,Mixed,,common,,Artifact Creature - Food Golem,,1,1.0,1.0,White Weenies
Deftblade Elite,Mixed,,common,W,Creature - Human Soldier,,1,1.0,1.0,White Weenies
Elite Vanguard,Mixed,,common,W,Creature - Human Soldier,,1,2.0,1.0,White Weenies
Novice Inspector,Mixed,,common,W,Creature - Human Detective,,1,1.0,2.0,White Weenies
Savannah Lions,Mixed,,common,W,Creature - Cat,,1,2.0,1.0,White Weenies
Raffine's Informant,Mixed,,common,W,Creature - Human Wizard,,2,2.0,1.0,White Weenies
Syndic of Tithes,Mixed,,common,W,Creature - Human Cleric,,2,2.0,2.0,White Weenies
Suture Priest,Mixed,,common,W,Creature - Phyrexian Cleric,,2,1.0,1.0,White Weenies
Sunlance,Mixed,,common,W,Sorcery,,1,,,White Weenies
Petrify,Mixed,,common,W,Enchantment - Aura,,2,,,White Weenies
Planar Disruption,Mixed,,common,W,Enchantment - Aura,,2,,,White Weenies
Phantom Nomad,Mixed,,common,W,Creature - Spirit Nomad,,2,0.0,0.0,White Weenies
Phantom Interference,Mixed,,common,U,Instant,,1,,,Blue Flying
Miscalculation,Mixed,,common,U,Instant,,2,,,Blue Flying
Exclude,Mixed,,common,U,Instant,,3,,,Blue Flying
Cloudkin Seer,Mixed,,common,U,Creature - Elemental Wizard,,3,2.0,1.0,Blue Flying
Frost Trickster,Mixed,,common,U,Creature - Bird Wizard,,3,2.0,2.0,Blue Flying
Geyser Drake,Mixed,,common,U,Creature - Drake,,3,2.0,3.0,Blue Flying
Preening Champion,Mixed,,common,U,Creature - Bird Knight,,3,2.0,2.0,Blue Flying
Warden of Evos Isle,Mixed,,common,U,Creature - Bird Wizard,,3,2.0,2.0,Blue Flying
Cruel Witness,Mixed,,common,U,Creature - Bird Horror,,4,3.0,3.0,Blue Flying
Mist Raven,Mixed,,common,U,Creature - Bird,,4,2.0,2.0,Blue Flying
Mulldrifter,Mixed,,common,U,Creature - Elemental,,5,2.0,2.0,Blue Flying
Peregrine Drake,Mixed,,common,U,Creature - Drake,,5,2.0,3.0,Blue Flying
Shipwreck Dowser,Mixed,,common,U,Creature - Merfolk Wizard,,5,3.0,3.0,Blue Wizards
Archaeomancer,Mixed,,common,U,Creature - Human Wizard,,4,1.0,2.0,Blue Wizards
Murmuring Mystic,Mixed,,common,U,Creature - Human Wizard,,4,1.0,5.0,Blue Wizards
